Property Name,Layout,Status,Block,Price
A-10-1,TYPE C,Hold,BLOCK A,781888
A-10-2,TYPE D,Hold,BLOCK A,773888
A-10-3,TYPE B,Available,BLOCK A,781888
A-10-3A,TYPE A1,Available,BLOCK A,611888
A-10-5,TYPE B1,Available,BLOCK A,605888
A-10-6,TYPE A,Hold,BLOCK A,733888
A-11-1,TYPE C,Available,BLOCK A,783888
A-11-2,TYPE D,Available,BLOCK A,775888
A-11-3,TYPE B,Available,BLOCK A,783888
A-11-3A,TYPE A1,Available,BLOCK A,613888
A-11-5,TYPE B1,Hold,BLOCK A,607888
A-11-6,TYPE A,Hold,BLOCK A,735888
A-12-1,TYPE C,Available,BLOCK A,783888
A-12-2,TYPE D,Available,BLOCK A,775888
A-12-3,TYPE B,Available,BLOCK A,783888
A-12-3A,TYPE A1,Available,BLOCK A,613888
A-12-5,TYPE B1,Signed,BLOCK A,607888
A-12-6,TYPE A,Hold,BLOCK A,735888
A-13-1,TYPE C,Available,BLOCK A,783888
A-13-2,TYPE D,Available,BLOCK A,775888
A-13-3,TYPE B,Available,BLOCK A,783888
A-13-3A,TYPE A2,Hold,BLOCK A,613888
A-13-5,TYPE B2,Reserved,BLOCK A,607888
A-13-6,TYPE A,Signed,BLOCK A,735888
A-13A-1,TYPE C,Hold,BLOCK A,783888
A-13A-2,TYPE D,Available,BLOCK A,775888
A-13A-3,TYPE B,Available,BLOCK A,783888
A-13A-3A,TYPE A2,Available,BLOCK A,613888
A-13A-5,TYPE B2,Hold,BLOCK A,607888
A-13A-6,TYPE A,Hold,BLOCK A,735888
A-15-1,TYPE C,Hold,BLOCK A,783888
A-15-2,TYPE D,Available,BLOCK A,775888
A-15-3,TYPE B,Hold,BLOCK A,783888
A-15-3A,TYPE A2,Available,BLOCK A,613888
A-15-5,TYPE B2,Hold,BLOCK A,607888
A-15-6,TYPE A,Signed,BLOCK A,735888
A-16-1,TYPE C,Hold,BLOCK A,788888
A-16-2,TYPE D,Available,BLOCK A,780888
A-16-3,TYPE B,Signed,BLOCK A,788888
A-16-3A,TYPE A3,Available,BLOCK A,618888
A-16-5,TYPE B3,Signed,BLOCK A,612888
A-16-6,TYPE A,Available,BLOCK A,740888
A-17-1,TYPE C,Hold,BLOCK A,788888
A-17-2,TYPE D,Available,BLOCK A,780888
A-17-3,TYPE B,Available,BLOCK A,788888
A-17-3A,TYPE A3,Available,BLOCK A,618888
A-17-5,TYPE B3,Hold,BLOCK A,612888
A-17-6,TYPE A,Hold,BLOCK A,740888
A-18-1,TYPE C,Hold,BLOCK A,788888
A-18-2,TYPE D,Hold,BLOCK A,780888
A-18-3,TYPE B,Available,BLOCK A,788888
A-18-3A,TYPE A3,Available,BLOCK A,618888
A-18-5,TYPE B3,Signed,BLOCK A,612888
A-18-6,TYPE A,Signed,BLOCK A,740888
A-19-1,TYPE C,Hold,BLOCK A,788888
A-19-2,TYPE D,Available,BLOCK A,780888
A-19-3,TYPE B,Available,BLOCK A,788888
A-19-3A,TYPE A4,Available,BLOCK A,618888
A-19-5,TYPE B4,Signed,BLOCK A,612888
A-19-6,TYPE A,Signed,BLOCK A,740888
A-20-1,TYPE C,Hold,BLOCK A,788888
A-20-2,TYPE D,Available,BLOCK A,780888
A-20-3,TYPE B,Available,BLOCK A,788888
A-20-3A,TYPE A4,Available,BLOCK A,618888
A-20-5,TYPE B4,Signed,BLOCK A,612888
A-20-6,TYPE A,Hold,BLOCK A,740888
A-21-1,TYPE C,Hold,BLOCK A,793888
A-21-2,TYPE D,Available,BLOCK A,785888
A-21-3,TYPE B,Available,BLOCK A,793888
A-21-3A,TYPE A4,Available,BLOCK A,623888
A-21-5,TYPE B4,Hold,BLOCK A,617888
A-21-6,TYPE A,Signed,BLOCK A,745888
A-22-1,TYPE C,Available,BLOCK A,793888
A-22-2,TYPE D,Available,BLOCK A,785888
A-22-3,TYPE B,Available,BLOCK A,793888
A-22-3A,TYPE A5,Available,BLOCK A,623888
A-22-5,TYPE B5,Hold,BLOCK A,617888
A-22-6,TYPE A,Hold,BLOCK A,745888
A-23-1,TYPE C,Signed,BLOCK A,793888
A-23-2,TYPE D,Available,BLOCK A,785888
A-23-3,TYPE B,Available,BLOCK A,793888
A-23-3A,TYPE A5,Available,BLOCK A,623888
A-23-5,TYPE B5,Hold,BLOCK A,617888
A-23-6,TYPE A,Hold,BLOCK A,745888
A-23A-1,TYPE C,Available,BLOCK A,793888
A-23A-2,TYPE D,Available,BLOCK A,785888
A-23A-3,TYPE B,Available,BLOCK A,793888
A-23A-3A,TYPE A5,Available,BLOCK A,623888
A-23A-5,TYPE B5,Available,BLOCK A,617888
A-23A-6,TYPE A,Signed,BLOCK A,745888
A-25-1,TYPE C,Hold,BLOCK A,793888
A-25-2,TYPE D,Available,BLOCK A,785888
A-25-3,TYPE B,Available,BLOCK A,793888
A-25-3A,TYPE A6,Available,BLOCK A,623888
A-25-5,TYPE B6,Hold,BLOCK A,617888
A-25-6,TYPE A,Signed,BLOCK A,745888
A-26-1,TYPE C,Hold,BLOCK A,798888
A-26-2,TYPE D,Signed,BLOCK A,790888
