Property Name,Layout,Status,Block,Price
A-01-01,TYPE C,Available,BLOCK A,2452800
A-01-02,TYPE D,Available,BLOCK A,2670800
A-01-03,TYPE B,Available,BLOCK A,1854800
A-01-05,TYPE A1,Available,BLOCK A,1447800
A-01-06,TYPE B1,Available,BLOCK A,1828800
A-01-3A,TYPE A,Available,BLOCK A,1472800
A-02-01,TYPE C,Available,BLOCK A,2453800
A-02-02,TYPE D,Available,BLOCK A,2704800
A-02-03,TYPE B,Available,BLOCK A,1855800
A-02-05,TYPE A1,Available,BLOCK A,1448800
A-02-06,TYPE B1,Available,BLOCK A,1829800
A-02-3A,TYPE A,Available,BLOCK A,1473800
A-03-01,TYPE C,Available,BLOCK A,2454800
A-03-02,TYPE D,Available,BLOCK A,2722800
A-03-03,TYPE B,Available,BLOCK A,1856800
A-03-05,TYPE A1,Available,BLOCK A,1449800
A-03-06,TYPE B1,Available,BLOCK A,1830800
A-03-3A,TYPE A,Available,BLOCK A,1474800
A-05-01,TYPE C,Available,BLOCK A,2456800
A-05-02,TYPE D,Available,BLOCK A,2711800
A-05-03,TYPE B,Available,BLOCK A,1858800
A-05-05,TYPE A1,Available,BLOCK A,1451800
A-05-06,TYPE B1,Available,BLOCK A,1832800
A-05-3A,TYPE A,Available,BLOCK A,1476800
A-06-01,TYPE C,Available,BLOCK A,2457800
A-06-02,TYPE D,Available,BLOCK A,2700800
A-06-03,TYPE B,Signed,BLOCK A,1854800
A-06-05,TYPE A1,Available,BLOCK A,1452800
A-06-06,TYPE B1,Available,BLOCK A,1833800
A-06-3A,TYPE A,Available,BLOCK A,1477800
A-07-01,TYPE C,Available,BLOCK A,2458800
A-07-02,TYPE D,Available,BLOCK A,2723800
A-07-03,TYPE B,Available,BLOCK A,1860800
A-07-05,TYPE A1,Available,BLOCK A,1453800
A-07-06,TYPE B1,Available,BLOCK A,1834800
A-07-3A,TYPE A,Available,BLOCK A,1478800
A-08-01,TYPE C,Available,BLOCK A,2480800
A-08-02,TYPE D,Available,BLOCK A,2759800
A-08-03,TYPE B,Signed,BLOCK A,1876800
A-08-05,TYPE A1,Available,BLOCK A,1474800
A-08-06,TYPE B1,Available,BLOCK A,1856800
A-08-3A,TYPE A,Hold,BLOCK A,1500800
A-09-01,TYPE C,Available,BLOCK A,2476800
A-09-02,TYPE D,Available,BLOCK A,2743800
A-09-03,TYPE B,Available,BLOCK A,1877800
A-09-05,TYPE A1,Available,BLOCK A,1470800
A-09-06,TYPE B1,Available,BLOCK A,1851800
A-09-3A,TYPE A,Signed,BLOCK A,1491800
A-10-01,TYPE C,Available,BLOCK A,2477800
A-10-02,TYPE D,Available,BLOCK A,2745800
A-10-03,TYPE B,Signed,BLOCK A,1873800
A-10-05,TYPE A1,Available,BLOCK A,1471800
A-10-06,TYPE B1,Available,BLOCK A,1853800
A-10-3A,TYPE A,Available,BLOCK A,1497800
A-11-01,TYPE C,Available,BLOCK A,2478800
A-11-02,TYPE D,Available,BLOCK A,2784800
A-11-03,TYPE B,Signed,BLOCK A,1874800
A-11-05,TYPE A1,Available,BLOCK A,1472800
A-11-06,TYPE B1,Available,BLOCK A,1854800
A-11-3A,TYPE A,Signed,BLOCK A,1493800
A-12-01,TYPE C,Available,BLOCK A,2479800
A-12-02,TYPE D,Available,BLOCK A,2696800
A-12-03,TYPE B,Signed,BLOCK A,1837800
A-12-05,TYPE A1,Available,BLOCK A,1473800
A-12-06,TYPE B1,Available,BLOCK A,1855800
A-12-3A,TYPE A,Available,BLOCK A,1499800
A-13-01,TYPE C,Available,BLOCK A,2519800
A-13-02,TYPE D,Available,BLOCK A,2697800
A-13-03,TYPE D,Signed,BLOCK A,1876800
A-13-05,TYPE A1,Available,BLOCK A,1474800
A-13-06,TYPE B1,Available,BLOCK A,1856800
A-13-3A,TYPE A,Available,BLOCK A,1500800
A-13A-01,TYPE C,Available,BLOCK A,2481800
A-13A-02,TYPE D,Available,BLOCK A,2749800
A-13A-03,TYPE B,Available,BLOCK A,1882800
A-13A-05,TYPE A1,Available,BLOCK A,1475800
A-13A-06,TYPE B1,Available,BLOCK A,1857800
A-13A-3A,TYPE A,Available,BLOCK A,1501800
A-15-01,TYPE C,Available,BLOCK A,2482800
A-15-02,TYPE D,Signed,BLOCK A,2706800
A-15-03,TYPE B,Signed,BLOCK A,1878800
A-15-05,TYPE A1,Available,BLOCK A,1476800
A-15-06,TYPE B1,Available,BLOCK A,1858800
A-15-3A,TYPE A,Available,BLOCK A,1502800
A-16-01,TYPE C,Available,BLOCK A,2483800
A-16-02,TYPE D,Available,BLOCK A,2700800
A-16-03,TYPE B,Signed,BLOCK A,1879800
A-16-05,TYPE A1,Available,BLOCK A,1477800
A-16-06,TYPE B1,Available,BLOCK A,1859800
A-16-3A,TYPE A,Available,BLOCK A,1503800
A-17-01,TYPE C,Available,BLOCK A,2484800
A-17-02,TYPE D,Hold,BLOCK A,2727800
A-17-03,TYPE B,Available,BLOCK A,1885800
A-17-05,TYPE A1,Available,BLOCK A,1478800
A-17-06,TYPE B1,Available,BLOCK A,1873800
A-17-3A,TYPE A,Available,BLOCK A,1504800
A-18-01,TYPE C,Signed,BLOCK A,2490800
A-18-02,TYPE D,Signed,BLOCK A,2707800
A-18-03,TYPE B,Available,BLOCK A,1896800
A-18-05,TYPE A1,Available,BLOCK A,1489800
A-18-06,TYPE B1,Available,BLOCK A,1871800
A-18-3A,TYPE A,Available,BLOCK A,1484800
A-19-01,TYPE C,Available,BLOCK A,2486800
A-19-02,TYPE D,Signed,BLOCK A,2698800
A-19-03,TYPE B,Available,BLOCK A,1857800
A-19-05,TYPE B1,Available,BLOCK A,1862800
A-19-3A,TYPE A1,Available,BLOCK A,1506800
A-20-01,TYPE C,Signed,BLOCK A,2482800
A-20-02,TYPE D,Signed,BLOCK A,2699800
A-20-03,TYPE B,Available,BLOCK A,1888800
A-20-05,TYPE A1,Available,BLOCK A,1481800
A-20-06,TYPE B1,Available,BLOCK A,1863800
A-20-3A,TYPE A,Available,BLOCK A,1507800
A-21-01,TYPE C,Available,BLOCK A,2488800
A-21-02,TYPE D,Signed,BLOCK A,2743800
A-21-03,TYPE B,Signed,BLOCK A,1884800
A-21-05,TYPE A1,Available,BLOCK A,1482800
A-21-06,TYPE B1,Available,BLOCK A,1864800
A-21-3A,TYPE A,Hold,BLOCK A,1508800
A-22-01,TYPE C,Available,BLOCK A,2489800
A-22-02,TYPE D,Signed,BLOCK A,2760800
A-22-03,TYPE B,Signed,BLOCK A,1885800
A-22-05,TYPE A1,Available,BLOCK A,1483800
A-22-06,TYPE B1,Available,BLOCK A,1865800
A-22-3A,TYPE A,Signed,BLOCK A,1504800
A-23-01,TYPE C,Available,BLOCK A,2529800
A-23-02,TYPE D,Signed,BLOCK A,2764800
A-23-03,TYPE B,Signed,BLOCK A,1886800
A-23-05,TYPE A1,Available,BLOCK A,1484800
A-23-06,TYPE B1,Available,BLOCK A,1866800
A-23-3A,TYPE A,Signed,BLOCK A,1505800
A-23A-01,TYPE C,Available,BLOCK A,2568800
A-23A-02,TYPE D,Available,BLOCK A,2797800
A-23A-03,TYPE B,Available,BLOCK A,1892800
A-23A-05,TYPE A1,Available,BLOCK A,1485800
A-23A-06,TYPE B1,Available,BLOCK A,1867800
A-23A-3A,TYPE A,Available,BLOCK A,1511800
A-25-01,TYPE C,Signed,BLOCK A,2551800
A-25-02,TYPE D,Available,BLOCK A,2760800
A-25-03,TYPE B,Signed,BLOCK A,1888800
A-25-05,TYPE A1,Available,BLOCK A,1486800
A-25-06,TYPE B1,Available,BLOCK A,1868800
A-25-3A,TYPE A,Available,BLOCK A,1512800
A-26-01,TYPE C,Available,BLOCK A,2519800
A-26-02,TYPE D,Available,BLOCK A,2811800
A-26-03,TYPE B,Signed,BLOCK A,1889800
A-26-05,TYPE A1,Available,BLOCK A,1487800
A-26-06,TYPE B1,Available,BLOCK A,1869800
A-26-3A,TYPE A,Available,BLOCK A,1513800
A-27-01,TYPE C,Available,BLOCK A,2520800
A-27-02,TYPE D,Available,BLOCK A,2759800
A-27-03,TYPE B,Signed,BLOCK A,1890800
A-27-05,TYPE A1,Available,BLOCK A,1488800
A-27-06,TYPE B1,Available,BLOCK A,1870800
A-27-3A,TYPE A,Available,BLOCK A,1514800
A-28-01,TYPE C,Signed,BLOCK A,2577800
A-28-02,TYPE D,Signed,BLOCK A,2777800
A-28-03,TYPE B,Signed,BLOCK A,1902800
A-28-05,TYPE A1,Available,BLOCK A,1500800
A-28-06,TYPE B1,Available,BLOCK A,1881800
A-28-3A,TYPE A,Signed,BLOCK A,1520800
A-29-01,TYPE C,Signed,BLOCK A,2517800
A-29-02,TYPE D,Signed,BLOCK A,2796800
A-29-03,TYPE B,Signed,BLOCK A,1892800
A-29-05,TYPE A1,Available,BLOCK A,1490800
A-29-06,TYPE B1,Available,BLOCK A,1872800
A-29-3A,TYPE A,Available,BLOCK A,1516800
A-30-01,TYPE C,Available,BLOCK A,2548800
A-30-02,TYPE D,Signed,BLOCK A,2824800
A-30-03,TYPE B,Signed,BLOCK A,1893800
A-30-05,TYPE A1,Available,BLOCK A,1491800
A-30-06,TYPE B1,Available,BLOCK A,1873800
A-30-3A,TYPE A,Available,BLOCK A,1517800
A-31-01,TYPE C,Available,BLOCK A,2549800
A-31-02,TYPE D,Signed,BLOCK A,2837800
A-31-03,TYPE B,Signed,BLOCK A,1894800
A-31-05,TYPE A1,Available,BLOCK A,1492800
A-31-06,TYPE B1,Available,BLOCK A,1874800
A-31-3A,TYPE A,Signed,BLOCK A,1513800
A-32-01,TYPE C,Signed,BLOCK A,2545800
A-32-02,TYPE D,Signed,BLOCK A,2774800
A-32-03,TYPE B,Signed,BLOCK A,1895800
A-32-05,TYPE A1,Available,BLOCK A,1493800
A-32-06,TYPE B1,Available,BLOCK A,1875800
A-32-3A,TYPE A,Signed,BLOCK A,1514800
A-33-01,TYPE C,Available,BLOCK A,2602800
A-33-02,TYPE D,Signed,BLOCK A,2797800
A-33-03,TYPE B,Signed,BLOCK A,1901800
A-33-05,TYPE A1,Available,BLOCK A,1494800
A-33-06,TYPE B1,Available,BLOCK A,1876800
A-33-3A,TYPE A,Signed,BLOCK A,1515800
A-33A-01,TYPE C,Available,BLOCK A,2552800
A-33A-02,TYPE D,Signed,BLOCK A,2827800
A-33A-03,TYPE B,Signed,BLOCK A,1902800
A-33A-05,TYPE A1,Available,BLOCK A,1496800
A-33A-06,TYPE B1,Available,BLOCK A,1877800
A-33A-3A,TYPE A,Signed,BLOCK A,1516800
A-35-01,TYPE C,Hold,BLOCK A,2548800
A-35-02,TYPE D,Signed,BLOCK A,2829800
A-35-03,TYPE B,Signed,BLOCK A,1899800
A-35-05,TYPE A1,Signed,BLOCK A,1492800
A-35-06,TYPE B1,Available,BLOCK A,1878800
A-35-3A,TYPE A,Signed,BLOCK A,1517800
A-36-01,TYPE C,Signed,BLOCK A,2588800
A-36-02,TYPE D,Signed,BLOCK A,2792800
A-36-03,TYPE B,Signed,BLOCK A,1900800
A-36-05,TYPE A1,Available,BLOCK A,1498800
A-36-06,TYPE B1,Hold,BLOCK A,1879800
A-36-3A,TYPE A,Signed,BLOCK A,1523800
A-37-01,TYPE C,Signed,BLOCK A,2550800
A-37-02,TYPE D,Signed,BLOCK A,2754800
A-37-03,TYPE B,Signed,BLOCK A,1901800
A-37-05,TYPE A1,Available,BLOCK A,1499800
A-37-06,TYPE B1,Available,BLOCK A,1880800
A-37-3A,TYPE A,Signed,BLOCK A,1519800
A-38-01,TYPE C,Signed,BLOCK A,2562800
A-38-02,TYPE D,Signed,BLOCK A,2756800
A-38-03,TYPE B,Signed,BLOCK A,1912800
A-38-05,TYPE A1,Available,BLOCK A,1510800
A-38-06,TYPE B1,Available,BLOCK A,1891800
A-38-3A,TYPE A,Signed,BLOCK A,1530800
A-39-01,TYPE C,Signed,BLOCK A,2501800
A-39-02,TYPE D,Signed,BLOCK A,2775800
A-39-03,TYPE B,Hold,BLOCK A,1903800
A-39-05,TYPE A1,Available,BLOCK A,1501800
A-39-06,TYPE B1,Available,BLOCK A,1882800
A-39-3A,TYPE A,Booked,BLOCK A,1526800
